City,Region,Address,Phone #s,Instructor,Latitude,Longitude,Geocode Type,Google Address
Richmond,Indiana,"2023 Chester Blvd (YMCA) Richmond, IN 47374",(765) 969-3334,PKJN Gary Phillips,39.815155,-84.88579179999999,ROOFTOP,"1215 S J St, Richmond, IN 47374, USA"
Bettendorf,Iowa,"1018 Spruce Hills Dr Bettendorf, IA 52722",(563) 505-5289,JIKJN Jeff Green,41.5547403,-90.51666349999999,ROOFTOP,"1018 Spruce Hills Dr, Bettendorf, IA 52722, USA"
Le Claire,Iowa,"427 North 3rd Street Le Claire, IA 52753",(563) 505-5289,JIKJN Jeff Green,41.6013233,-90.3467074,ROOFTOP,"427 N 3rd St, Le Claire, IA 52753, USA"
Burton,Michigan,"5515 Davison Rd #7 Burton, MI 48509",(810) 908-2659,PKJN Ken Wright,43.034365,-83.59671469999999,ROOFTOP,"5515 Davison Rd #7, Burton, MI 48509, USA"
Madison Heights,Michigan,"26751 John Road Madison Heights, MI 48071",(248) 291-7157,Inst. Gehrik Mohr,42.4897503,-83.1054858,ROOFTOP,"26751 John R Rd, Madison Heights, MI 48071, USA"
Sault Ste. Marie,Michigan,"1200 Ryan Street Sault Ste. Marie, MI 49783",(906) 630-1929,JIKJN Karl Stolt,46.4900404,-84.3595776,ROOFTOP,"1200 Ryan Ave, Sault Ste. Marie, MI 49783, USA"
Spring Lake,Michigan,"14700 State Rd Springlake, MI 49456",(616) 795-3048,Inst. Sam Ferrell,43.0863101,-86.15307729999999,ROOFTOP,"14700 State Rd, Spring Lake, MI 49456, USA"
St. Paul,Minnesota,"800 Transfer Road #34 St. Paul, MN 55104",(651) 645-1455,PKJN. Steffen Kellogg,44.9651852,-93.18500399999999,ROOFTOP,"800 Transfer Rd #34, St Paul, MN 55114, USA"
O' Fallon,Missouri,"929 N. Main St. O' Fallon, MO 63366",(636) 978-5425,PKJN. Kelly  Fleites,38.82086049999999,-90.7002552,ROOFTOP,"929 N Main St, O'Fallon, MO 63366, USA"
St. Louis,Missouri,"#1 East Sutters Mill Road St. Peters, MO 63376",(636) 928-0035,JDKJN Jack Harvey,38.7791114,-90.5774812,ROOFTOP,"1 Sutters Mill Rd, St Peters, MO 63376, USA"
Cleveland,Ohio,"Cleveland Heights Recreation Center 1 Montecello Blvd.  Cleveland Heights, OH 44118",(216) 501-3063,Inst. David Pritts,41.5156983,-81.572648,ROOFTOP,"1 Monticello Blvd, Cleveland, OH 44118, USA"
Dayton,Ohio,"Christian Life Center 3489 Little York Rd. Dayton, OH 45414",(937) 836-2149,Inst. Cindy Redolfi,39.86342,-84.211535,ROOFTOP,"3489 Little York Rd, Dayton, OH 45414, USA"
Kirtland,Ohio,"7900 Euclid Chardon Road Kirtland, OH 44094",(216) 501-3063,Inst. David Pritts,41.582322,-81.36097199999999,ROOFTOP,"7900 Euclid Chardon Rd, Kirtland, OH 44094, USA"
Streetsboro,Ohio,"Streetsboro Recreation Center 9184 St. Rt 43 Streetsboro, OH 44241",(440) 336-2833,PKJN Bob Williams,41.2392227,-81.3459405,APPROXIMATE,"Streetsboro, OH, USA"
Madison,Wisconsin,"University of Wisconsin Eagle Heights Community Center 611 Eagle Heights Madison, WI 53705",(281) 253-7944,Inst. Max Magee,43.08825969999999,-89.43648929999999,ROOFTOP,"611 Eagle Heights Dr, Madison, WI 53705, USA"
"Williston, ND",Wisconsin,"NEW!!! 10 Main Street Williston, ND 58801",(612) 387-0393,Inst.Audrey Kalil,48.1438705,-103.6206436,ROOFTOP,"10 Main St, Williston, ND 58801, USA"
Washington,District of columbia,605 Rhode Island Avenue NE Washigton DC 20019,(301) 801-4398,Inst. Russell Moore,38.9203348,-76.99769700000002,ROOFTOP,"605 Rhode Island Ave NE, Washington, DC 20002, USA"
Capitol Heights,Maryland,"7905 Central Ave Capitol Heights, MD 20743",(202) 437-2548,PKJN. Marlin Godfrey,38.8885986,-76.8694611,ROOFTOP,"7905 Central Ave, Capitol Heights, MD 20743, USA"
N. Laurel,Maryland,"North Laurel Community Center 9411 Whiskey Botton Rd Laurel, MD 20723",(301) 509-2030,Inst. Darren Fulmore,39.1161362,-76.8361479,ROOFTOP,"9411 Whiskey Bottom Rd, Laurel, MD 20723, USA"
Prince Frederick,Maryland,"NEW!!! 3170 German Chapel Road Prince Frederick, MD 20678",(443) 624-1808,Inst. Andrew Eason,38.5251411,-76.6157283,ROOFTOP,"3170 German Chapel Rd, Prince Frederick, MD 20678, USA"
Clinton,Massachusetts,"386 High St Clinton, MA 01510",(978) 706-1779,Inst. Kenneth Schalk,42.4225752,-71.6839306,ROOFTOP,"386 High St, Clinton, MA 01510, USA"
Saratoga Springs,New york,"54 Weibel Ave  Saratoga Springs, NY 12866",(518) 242-9968,Inst. Jason Tetu,43.0967726,-73.7448247,RANGE_INTERPOLATED,"54 Weibel Ave, Saratoga Springs, NY 12866, USA"
Webster,New york,"396 Route 104 Ontario, NY 14519",(585) 216-2122,JDKJN Gary Evarts,43.2247422,-77.359948,ROOFTOP,"396 NY-104, Ontario, NY 14519, USA"
Williamson,New york,"4081 West Main Street Williamson, NY 14589",(315) 589-4066,JDKJN Gary Evarts,43.22391,-77.1868255,ROOFTOP,"4081 Main St, Williamson, NY 14589, USA"
Wolcott,New york,"11807 West Main Street Wolcott, NY 14590",(315) 594-8991,JIKJN Joseph Burnett,43.2238496,-76.8244564,RANGE_INTERPOLATED,"11807 W Main St, Wolcott, NY 14590, USA"
Greensboro,North carolina,"N.C. A&T State University 1601 East Market Street Greensboro, NC 27411",,PKJN Steve Hurley,36.0727791,-79.7733641,ROOFTOP,"120 Gibbs Hall, 1601 E Market St, Greensboro, NC 27411, USA"
Luke AFB,Arizona,"NEW!!! Luke AFB Bryant Fitness Center & Youth Center 14185 West Falcon Street Glendale, AZ 85309",(623) 337-0258,Inst. Angela Hoikka,33.5338846,-112.3599483,ROOFTOP,"14053 W Shooting Star, Glendale, AZ 85309, USA"
Phoenix,Arizona,"NEW!!! 126 W. Desert Hills Phoenix, AZ 85086",(623) 337-0258,Inst. Angela Hoikka,33.8442426,-112.077119,ROOFTOP,"126 W Desert Hills Dr, Phoenix, AZ 85086, USA"
Surprise/ Sun Ciity West,Arizona,"NEW!!! 14465 RH Johnson Blvd Sun City West, AZ 85375",(623) 518-0056,JIKJN Terry Heaps,33.6694225,-112.3706139,ROOFTOP,"14465 W R H Johnson Blvd, Sun City West, AZ 85375, USA"
Berkeley,California,"2438 Sacramento Street Berkeley, CA",(510) 540-8070,JDKJN Tom Brewer,37.8625611,-122.2814939,ROOFTOP,"2438 Sacramento St, Berkeley, CA 94702, USA"
DIXON,California,"201 SOUTH FIFTH ST DIXON, CA 95620",(530) 908-0756,Inst. Tiffany Bunn,38.444632,-121.81705,ROOFTOP,"201 S 5th St, Dixon, CA 95620, USA"
Dublin,California,"4558 Dublin Blvd. Dublin, CA 94568",(925) 551-8200,JIKJN Seyd Saidi,37.7048401,-121.8811595,ROOFTOP,"4558 Dublin Blvd, Dublin, CA 94568, USA"
El Dorado Hills,California,"2222 Francisco Blvd. El Dorado Hills, CA 95762",(530) 642-9031,PKJN Justin Painter,38.710469,-121.0863537,ROOFTOP,"600, 2222 Francisco Dr, El Dorado Hills, CA 95762, USA"
Gold Country,California,"127 Argall Way Nevada City, CA 95959",(530) 478-1412,JIKJN Tony Reyna,39.2523558,-121.024882,ROOFTOP,"127 Argall Way, Nevada City, CA 95959, USA"
Half Moon Bay,California,"432- B Main St Half Moon Bay, CA 94019",(650) 726-4132,JIKJN Paul Carmody,37.464039,-122.429332,ROOFTOP,"432B Main St, Half Moon Bay, CA 94019, USA"
Huntington Beach,California,"NEW!! Lake Park Clubhouse 1035 11th Street Huntington Beach, CA 92648",(661) 644-6514,JIKJN Gene Gause,33.668639,-117.99919,ROOFTOP,"1035 11th St, Huntington Beach, CA 92648, USA"
Lake Hughes,California,"17520 Lake Elizabeth Road Lake Hughes, CA 93532",(661) 202-8085,PKJN David Collins,34.6730407,-118.4397326,ROOFTOP,"17520 Elizabeth Lake Rd, Lake Hughes, CA 93532, USA"
Lincoln,California,"2010 First Street Lincoln, CA 95648",(916) 253-3801,Inst. John Santilena,38.8875157,-121.3144153,ROOFTOP,"2010 1st St, Lincoln, CA 95648, USA"
Los Altos,California,"NEW LOCATION ! 347- 1 Street Los Altos, CA 94022",(650) 938-1553,JIKJN.David Hespelt,37.37664300000001,-122.11641,ROOFTOP,"347 1st St, Los Altos, CA 94022, USA"
Menlo Park,California,"Burgess Recreation Center 700 Alma Street Menlo Park, CA 94025",(650) 787-2226,PKJN. Kristin Quintana,37.4527885,-122.1781954,ROOFTOP,"700 Alma St, Menlo Park, CA 94025, USA"
Millbrae,California,"30 Rollins Road Millbrae, CA 94030 (650) 692-KICK (5425)",,Inst. Dong Nguyen,37.5993939,-122.383542,ROOFTOP,"30 Rollins Rd, Millbrae, CA 94030, USA"
Palmdale,California,"38218 6th Street East Palmdale, CA 93550",(661) 947-3992;(661) 273-3235,PKJN Antony Kinzell,34.5756624,-118.1174228,ROOFTOP,"38218 6th St E, Palmdale, CA 93550, USA"
Placerville,California,"5690 Motherlode Drive Placerville, CA 95667",,PKJN Justin Painter,38.6800584,-120.8694712,RANGE_INTERPOLATED,"5690 Mother Lode Dr, Placerville, CA 95667, USA"
Redwood City,California,"2135 Roosevelt Ave  Redwood City, CA 94061",(650) 368-2761,JDKJN Hafez Adle,37.4660599,-122.2410515,ROOFTOP,"2135 Roosevelt Ave, Redwood City, CA 94061, USA"
Rohnert Park,California,"320 Professional Drive, #150 Rohnert Park, CA 94928",(707) 494-1151,PKJN Debra Taylor,38.3556738,-122.7067741,ROOFTOP,"320 Professional Center Dr #150, Rohnert Park, CA 94928, USA"
Sacramento,California,"Mather Sports Complex 3755 Schriever Ave Mather, CA 95655",(916) 308-6577,PKJN. Kymberly Wadsworth,38.571255,-121.301653,ROOFTOP,"3755 Schriever Ave, Mather, CA 95655, USA"
San Francisco,California,"NEW Location! 25 Lake Street San Francisco, CA 94118  415-868-KICK",,PKJN. Leora Goren,37.7867097,-122.4598082,ROOFTOP,"25 Lake St, San Francisco, CA 94118, USA"
San Lorenzo,California,"17321 Hesperian Blvd. San Lorenzo, CA 94580",(510) 276-3834,JIKJN Seyd Saidi,37.6754299,-122.1245023,ROOFTOP,"17321 Hesperian Blvd, San Lorenzo, CA 94580, USA"
San Mateo,California,"31 West 25th Avenue San Mateo, CA",(650) 570-5991,JIKJN Tim Sheehan,37.5437417,-122.3064776,ROOFTOP,"31 W 25th Ave, San Mateo, CA 94403, USA"
Santa Clarita,California,"27831 Smyth Drive Valencia, CA 91355",(661) 523-3455,Inst. Sydney Albert,34.4395613,-118.5663097,ROOFTOP,"27831 Smyth Dr, Valencia, CA 91355, USA"
Sherman Oaks,California,"New Location! Sherman Oaks East Valley Adult Center 5056 Van Nuys Boulevard Van Nuys, CA 91403",(818) 859-2670,Inst. Christa Wilson,34.1631891,-118.44838,ROOFTOP,"5056 Van Nuys Blvd, Sherman Oaks, CA 91403, USA"
Sylmar,California,"NEW!!! 13788A Foothill Blvd. Sylmar, CA 91342",(818) 939-8800,Inst. Nathan Hemmens,34.3097432,-118.4335721,ROOFTOP,"13788 Foothill Blvd, Sylmar, CA 91342, USA"
Visitacion Valley,California,"189 Leland Ave St San Fransico, CA",(415) 298-5360,Inst. Jorge Liberona,37.7124363,-122.4072425,ROOFTOP,"189 Leland Ave, San Francisco, CA 94134, USA"
Wheatland,California,"420 Front Street Wheatland, CA 95692",(530) 713-2379,PKJN Rick Cairnes,39.0105021,-121.4227833,ROOFTOP,"420 Front St, Wheatland, CA 95692, USA"
Woodland,California,"618 Cottonwood St. Woodland, CA",(530) 406-0618,PKJN Justin Bunn,38.67345419999999,-121.7933617,RANGE_INTERPOLATED,"618 Cottonwood St, Woodland, CA 95695, USA"
Yuba City,California,"236 Bridge St. Yuba City, CA 95991",(530) 821-2275,PKJN Daniel Tejada,39.1373965,-121.6087783,ROOFTOP,"236 Bridge St, Yuba City, CA 95991, USA"
Fort Smith (River Valley),Arkansas,"3112 Cavanaugh Road Fort Smith, AR 72903",(479) 649-3542,JIKJN Mike Gray,35.3112678,-94.4016202,ROOFTOP,"3112 Cavanaugh Rd, Fort Smith, AR 72908, USA"
Ft. Smith,Arkansas,"University of Arkansas 5210 Grand Ave Ft Smith, AR 72913",(479) 883-6456,JDKJN Jerry Sallee,35.3859242,-94.39854749999999,APPROXIMATE,"Fort Smith, AR, USA"
Greenwood,Arkansas,"1507 Highway 10 Greenwood, AR",(479) 806-4066,JIKJN Tim Nixon,35.2038377,-94.2820811,RANGE_INTERPOLATED,"1507 AR-10, Greenwood, AR 72936, USA"
Jacksonville,Arkansas,"210 Martin St Jacksonville, AR 72076",(501) 952-0423,PKJN Cleo Randall,34.8662005,-92.1101458,APPROXIMATE,"Jacksonville, AR, USA"
Mountainburg,Arkansas,"NEW! Baptist Church 220 Elm Street Mountainburg, AR 72946",(479) 883-6456,JDKJN Jerry Sallee,35.6356396,-94.167428,APPROXIMATE,"Mountainburg, AR 72946, USA"
Rogers,Arkansas,"4106 Honeysuckle Rogers, AR 72758",(479) 986-8000,PKJN Eric Spivey,36.2829494,-94.1274692,ROOFTOP,"4106 Honeysuckle Ln, Rogers, AR 72758, USA"
Hurlburt Field,Florida,"Aderholt Fitness Center 259 Tully Street - Bldg 90517 Hurlburt Field, FL 32544",(850) 543-1986;(407) 443-3387,PKJN Amado Garcia,30.4230603,-86.7053961,ROOFTOP,"259 Tully St, Hurlburt Field, FL 32544, USA"
Palm Coast,Florida,"NEW!!! Belle Terre Swim and Racquet Club 73 Patricia Drive Palm Coast, FL 32164",(315) 729-2202,PKJN Tim Webster,29.5389158,-81.2211286,ROOFTOP,"73 Patricia Dr, Palm Coast, FL 32164, USA"
Gretna,Louisiana,"835 Gretna Blvd Gretna, LA 70053",(504) 365-0111,Inst. Ryan Tardiff,29.89636,-90.04982,ROOFTOP,"835 Gretna Blvd, Gretna, LA 70053, USA"
Uptown New Orleans,Louisiana,"International School of New Orleans 1400 Camp Street New Orleans, LA 70103",(504) 236-8036,Inst. Quan Le,29.9393052,-90.12142349999999,APPROXIMATE,"Uptown/Carrollton, New Orleans, LA, USA"
Xavier University,Louisiana,"NEW!!! Xavier University 1 Drexel Drive New Orleans, LA 70125",(806) 577-8006,Inst. Francisco Miramontes,29.963863,-90.107084,ROOFTOP,"1 Drexel Dr, New Orleans, LA 70125, USA"
Pryor,Oklahoma,"Pryor Creek Recreational Center 1111 Southeast 9th Street Pryor, OK 74361",(918) 344-9483,Inst. Michelle Brasher,36.2942055,-95.30378739999999,ROOFTOP,"1111 SE 9th St, Pryor, OK 74361, USA"
Tahlequah,Oklahoma,"NEW location! 2051 Mahaney Ave. Tahlequah, OK 74464",(918) 457-9440,Inst. Trevor Crouch,35.889444,-94.9738065,ROOFTOP,"2051 Mahaney Ave, Tahlequah, OK 74464, USA"
Tinker AFB,Oklahoma,"NEW !!! Tinker Youth Center 4460 McNarney Ave Oklahoma City, OK 73145",(405) 371-5592,Inst. Michael Grimes,35.4214746,-97.41805140000001,ROOFTOP,"Tinker Air Force Base, 4460 McNarney Ave, Oklahoma City, OK 73145, United States"
Anderson,South carolina,"1107 North Murray Ave. Anderson, SC 29621",(864) 360-0174,JDKJN Daniel Middleton,34.512242,-82.65543799999999,ROOFTOP,"1107 N Murray Ave, Anderson, SC 29625, USA"
Clemson,South carolina,"1085 Old Clemson Hwy Seneca, SC 29672",(864) 653-0570,Inst. Sarah Gordinier,34.69688319999999,-82.87710120000001,ROOFTOP,"1085 Old Clemson Hwy, Seneca, SC 29672, USA"
Florence,South carolina,"3015#C East Palmetto Street Florence, SC",(843) 665-2100,PKJN. Cliff Bailey,34.1973569,-79.707077,ROOFTOP,"3015C E Palmetto St, Florence, SC 29506, USA"
Greenville,South carolina,"5314 Wade Hampton Blvd.  Taylors, SC 29687",(864) 517-8075,PKJN. Toan Pham,34.933851,-82.28086069999999,ROOFTOP,"5314 Wade Hampton Blvd, Taylors, SC 29687, USA"
Greenville,South carolina,"Carolina School of Massage 1313A Miller Rd. Greenville, SC 29607",(864) 860-0174,JDKJN Daniel Middleton,34.819153,-82.28493499999999,ROOFTOP,"210 Adley Way, Greenville, SC 29607, USA"
Lake City,South carolina,"NEW!! 416 West Main Street Lake City, SC 29560",,Inst. Amber Dickerson,33.8783001,-79.7691494,RANGE_INTERPOLATED,"416 W Main St, Lake City, SC 29560, USA"
University of Memphis,South carolina,"TENNESSEE University of Memphis Memphis, TN 38104",(414) 467-3613,Inst. Michael Monahan,35.118741,-89.937141,ROOFTOP,"3720 Alumni Ave, Memphis, TN 38152, USA"
Abilene,Texas,"2401 S. 7th Abilene, TX 79605",(325) 692-0100,JIKJN Phillip Sage,32.443481,-99.7514453,ROOFTOP,"2401 S 7th St, Abilene, TX 79605, USA"
ALVIN,Texas,"900 FM 1462 ALVIN, TX 77511",(281) 742-4292,Instr. Joseph Perkins,29.4016125,-95.246607,ROOFTOP,"900 FM 1462, Alvin, TX 77511, USA"
AUSTIN (EISD),Texas,"AUSTIN EANES SCHOOL DISTRICT 601 Camp Craft Rd Austin, TX 78746",(937) 369-1136,Inst. Darryl Gholston,30.2781556,-97.8164506,ROOFTOP,"601 Camp Craft Rd, Austin, TX 78746, USA"
Austin (Oak Hill),Texas,"6001 W. Williams Cannon, Suite 307 Austin, TX 78749",(512) 899-8710,PKJN Timothy King,30.2280988,-97.86284959999999,ROOFTOP,"6001 W William Cannon Dr #307, Austin, TX 78749, USA"
Baytown,Texas,"2827 North Alexander Baytown, TX 77520",(281) 428-4930,PKJN Tommy Nance,29.7526537,-94.94438459999999,ROOFTOP,"2827 N Alexander Dr, Baytown, TX 77520, USA"
Boerne,Texas,"OPEN SOON ! 37131 IH 10 West Boerne, TX 78006",(210) 912-4300,inst. Kenneth Thibodeaux,29.7966293,-98.75411509999999,ROOFTOP,"37131 I-10, Boerne, TX 78006, USA"
Brownsville,Texas,"1601 Alton Gloor Suite 110 Brownsville, TX 78521",(956) 372-1664,PKJN Raul Sosa III,25.9824391,-97.4857078,ROOFTOP,"1601 E Alton Gloor Blvd #110, Brownsville, TX 78526, USA"
Cinco Ranch,Texas,"Coming Soon in August 2017!  4747 FM 1463 Suite #900 Katy, Texas 77494",(713) 231-4632,Inst. Chris Pak,29.7231705,-95.845522,ROOFTOP,"4747 FM 1463 #900, Katy, TX 77494, USA"
Clear Lake,Texas,"15230 HWY 3 Webster, TX 77598",(281) 486-5425,SSKJN Barry Harmon,29.5656913,-95.1447216,ROOFTOP,"15230 TX-3, Webster, TX 77598, USA"
Katy,Texas,"4414 Cobalt Cross St. Katy, Texas 77493",(281) 615-3542,PKJN Ron Michael,29.8377062,-95.7780279,ROOFTOP,"4414 Cobalt Cross St, Katy, TX 77493, USA"
Kingwood,Texas,"910 Russell Palmer Road Kingwood, TX 77339-1601",(281) 359-5425,SIKJN Richard Roper,30.0640153,-95.2268715,ROOFTOP,"910 Russell Palmer Rd, Kingwood, TX 77339, USA"
Magnolia,Texas,"World HQ 37937 FM 1774 Magnolia, TX 77355",(832) 934-1400,,30.1906117,-95.7186761,ROOFTOP,"37937 FM 1774, Magnolia, TX 77355, USA"
Murphy (Dallas),Texas,"Murphy Community Center  205 N Murphy Road Murphy, TX 75094",(972) 767-9062,Inst. Hong  Cho,33.016583,-96.613559,ROOFTOP,"205 N Murphy Rd, Murphy, TX 75094, USA"
Pearland,Texas,New location to be announced soon.,,PKJN Alana Groneman,29.5635666,-95.2860474,APPROXIMATE,"Pearland, TX, USA"
Prosper (Dallas),Texas,"114 W. Broadway Street Prosper, TX 75078 Dallas Metro Area",(469) 307-9940,Inst. Wendy Herrmann,33.2364694,-96.80278179999999,ROOFTOP,"114 W Broadway St, Prosper, TX 75078, USA"
Richmond,Texas,"1125 Crabb River Road Richmond, TX 77469",(832) 595-2299,Inst. Robert Kuemmel,29.5511454,-95.697699,ROOFTOP,"1125 Crabb River Rd, Richmond, TX 77469, USA"
San Antonio,Texas,"6812 Bandera Rd #109 San Antonio, TX 78238-3552",(210) 520-0432,JIKJN Daniel Jolly,29.4979371,-98.6236093,ROOFTOP,"6812 Bandera Rd #109, San Antonio, TX 78238, USA"
San Antonio (Alamo Heights),Texas,"1149 Harry Wurzbach Rd. San Antonio, TX 78209-640 210-824-KICK(5425)",,PKJN Frankie Cade,29.4699256,-98.43833540000001,ROOFTOP,"1149 Harry Wurzbach Rd, San Antonio, TX 78209, USA"
San Antonio (Walzem),Texas,"5530 Walzem Road San Antonio, TX 78218",(210) 599-8211,PKJN Lawson Plummer,29.5102815,-98.3792684,ROOFTOP,"5530 Walzem Rd, San Antonio, TX 78218, USA"
San Marcos,Texas,"Coming soon in September 2017 1330 Aquarena Springs Dr. Suite 107 San Marcos, TX 78666",(512) 997-8052,Inst. Eric Morales,29.8921487,-97.9219639,ROOFTOP,"1330 Aquarena Springs Dr #107, San Marcos, TX 78666, USA"
The Woodlands East,Texas,"New Location!!! 506 Sawdust Road The Woodlands, TX 77380",(713) 937-7885,Inst. Todd Thurman,30.1284277,-95.4503443,ROOFTOP,"506 Sawdust Rd, Spring, TX 77380, USA"
The Woodlands West,Texas,"32215 Tamina Road Magnolia, TX 77354",(281) 259-6333,JIKJN Joseph Foster,30.2097493,-95.5775839,ROOFTOP,"32215 Tamina Rd, Magnolia, TX 77354, USA"
Tomball,Texas,"20295 F.M.2920 Rd. Tomball, TX 77377",(281) 255-4321,SIKJN Alex Suh,30.0791333,-95.7397678,RANGE_INTERPOLATED,"20295 Farm to Market 2920, Hockley, TX 77447, USA"
