,Country,Country Code,City,Region,Address,Website,Phone #s,Instructor,Latitude,Longitude,Geocode Type,Google Address
10,U.S.A.,US,Connersville,Indiana,"3542 Western Ave Connersville, IN 47331",,(765) 993-8315,Inst.Benjamin Klein,39.67671,-85.137948,ROOFTOP,"3542 Western Ave, Connersville, IN 47331, USA"
11,U.S.A.,US,Muncie,Indiana,"2190 West White River Bend Blvd. Suite B Muncie, IN 47303",,(765) 212-2591,Inst. Ken Ring,40.1870315,-85.4114203,ROOFTOP,"2190 W White River Blvd Suite B, Muncie, IN 47303, USA"
12,U.S.A.,US,Richmond,Indiana,"2023 Chester Blvd (YMCA) Richmond, IN 47374",,(765) 969-3334,PKJN Gary Phillips,39.815155,-84.88579179999999,ROOFTOP,"1215 S J St, Richmond, IN 47374, USA"
13,U.S.A.,US,Bettendorf,Iowa,"1018 Spruce Hills Dr Bettendorf, IA 52722",,(563) 505-5289,JIKJN Jeff Green,41.5547403,-90.51666349999999,ROOFTOP,"1018 Spruce Hills Dr, Bettendorf, IA 52722, USA"
14,U.S.A.,US,Le Claire,Iowa,"427 North 3rd Street Le Claire, IA 52753",,(563) 505-5289,JIKJN Jeff Green,41.6013233,-90.3467074,ROOFTOP,"427 N 3rd St, Le Claire, IA 52753, USA"
15,U.S.A.,US,Burton,Michigan,"5515 Davison Rd #7 Burton, MI 48509",http://www.kswflint.com,(810) 908-2659,PKJN Ken Wright,43.034365,-83.59671469999999,ROOFTOP,"5515 Davison Rd #7, Burton, MI 48509, USA"
16,U.S.A.,US,Madison Heights,Michigan,"26751 John Road Madison Heights, MI 48071",http://www.kswofmadisonheights.com,(248) 291-7157,Inst. Gehrik Mohr,42.4897503,-83.1054858,ROOFTOP,"26751 John R Rd, Madison Heights, MI 48071, USA"
17,U.S.A.,US,Sault Ste. Marie,Michigan,"1200 Ryan Street Sault Ste. Marie, MI 49783",http://www.kuksoolwonsault.com/,(906) 630-1929,JIKJN Karl Stolt,46.4900404,-84.3595776,ROOFTOP,"1200 Ryan Ave, Sault Ste. Marie, MI 49783, USA"
18,U.S.A.,US,Spring Lake,Michigan,"14700 State Rd Springlake, MI 49456",,(616) 795-3048,Inst. Sam Ferrell,43.0863101,-86.15307729999999,ROOFTOP,"14700 State Rd, Spring Lake, MI 49456, USA"
19,U.S.A.,US,St. Paul,Minnesota,"800 Transfer Road #34 St. Paul, MN 55104",http://www.stpaulksw.com,(651) 645-1455,PKJN. Steffen Kellogg,44.9651852,-93.18500399999999,ROOFTOP,"800 Transfer Rd #34, St Paul, MN 55114, USA"
20,U.S.A.,US,O' Fallon,Missouri,"929 N. Main St. O' Fallon, MO 63366",,(636) 978-5425,PKJN. Kelly  Fleites,38.82086049999999,-90.7002552,ROOFTOP,"929 N Main St, O'Fallon, MO 63366, USA"
21,U.S.A.,US,St. Louis,Missouri,"#1 East Sutters Mill Road St. Peters, MO 63376",,(636) 928-0035,JDKJN Jack Harvey,38.7791114,-90.5774812,ROOFTOP,"1 Sutters Mill Rd, St Peters, MO 63376, USA"
22,U.S.A.,US,Cleveland,Ohio,"Cleveland Heights Recreation Center 1 Montecello Blvd.  Cleveland Heights, OH 44118",http://kswcle.com/,(216) 501-3063,Inst. David Pritts,41.49932,-81.6943605,APPROXIMATE,"Cleveland, OH, USA"
23,U.S.A.,US,Dayton,Ohio,"New location! 250 N. Cassel Road Vandalia, OH 45377",,(937) 836-2149,Inst. Cindy Redolfi,39.8963847,-84.1690173,ROOFTOP,"250 N Cassel Rd, Vandalia, OH 45377, USA"
24,U.S.A.,US,Kirtland,Ohio,"7900 Euclid Chardon Road Kirtland, OH 44094",http://kswcle.com/,(216) 501-3063,Inst. David Pritts,41.582322,-81.36097199999999,ROOFTOP,"7900 Euclid Chardon Rd, Kirtland, OH 44094, USA"
25,U.S.A.,US,Streetsboro,Ohio,"New Location! 9307 State Route 43 Streetsboro, OH 44241",http://kswcle.com/,(440) 336-2833,PKJN Bob Williams,41.2440197,-81.3459144,ROOFTOP,"9307 OH-43, Streetsboro, OH 44241, USA"
26,U.S.A.,US,Madison,Wisconsin,"University of Wisconsin Eagle Heights Community Center 611 Eagle Heights Madison, WI  53705",,(281) 253-7944,Inst. Max Magee,43.0730517,-89.4012302,APPROXIMATE,"Madison, WI, USA"
27,U.S.A.,US,"Williston, ND",Wisconsin,"NEW!!! 10 Main Street Williston, ND 58801",,(612) 387-0393,Inst.Audrey Kalil,48.1438705,-103.6206436,ROOFTOP,"10 Main St, Williston, ND 58801, USA"
28,U.S.A.,US,Washington,District Of Columbia,605 Rhode Island Avenue NE Washigton DC 20019,,(301) 801-4398,Inst. Russell Moore,38.9203348,-76.99769700000002,ROOFTOP,"605 Rhode Island Ave NE, Washington, DC 20002, USA"
29,U.S.A.,US,Capitol Heights,Maryland,"7905 Central Ave Capitol Heights, MD 20743",,(202) 437-2548,PKJN. Marlin Godfrey,38.8885986,-76.8694611,ROOFTOP,"7905 Central Ave, Capitol Heights, MD 20743, USA"
30,U.S.A.,US,N. Laurel,Maryland,"North Laurel Community Center 9411 Whiskey Botton Rd Laurel, MD 20723",,(301) 509-2030,Inst. Darren Fulmore,39.1161362,-76.8361479,ROOFTOP,"9411 Whiskey Bottom Rd, Laurel, MD 20723, USA"
31,U.S.A.,US,Prince Frederick,Maryland,"NEW!!! 3170 German Chapel Road Prince Frederick, MD 20678",,(443) 624-1808,Inst. Andrew Eason,38.5251411,-76.6157283,ROOFTOP,"3170 German Chapel Rd, Prince Frederick, MD 20678, USA"
32,U.S.A.,US,Clinton,Massachusetts,"386 High St Clinton, MA 01510",http://www.kuksoolma.com/,(978) 706-1779,Inst. Kenneth Schalk,42.4225752,-71.6839306,ROOFTOP,"386 High St, Clinton, MA 01510, USA"
33,U.S.A.,US,Saratoga Springs,New York,"54 Weibel Ave   Saratoga Springs, NY  12866",,(518) 242-9968,Inst. Jason Tetu,43.0967726,-73.7448247,RANGE_INTERPOLATED,"54 Weibel Ave, Saratoga Springs, NY 12866, USA"
34,U.S.A.,US,Webster,New York,"396 Route 104 Ontario, NY 14519",http://www.kuksoolny.com,(585) 216-2122,JDKJN Gary Evarts,43.2247422,-77.359948,ROOFTOP,"396 NY-104, Ontario, NY 14519, USA"
35,U.S.A.,US,Williamson,New York,"4081 West Main Street Williamson, NY 14589",http://www.kuksoolny.com,(315) 589-4066,JDKJN Gary Evarts,43.22391,-77.1868255,ROOFTOP,"4081 Main St, Williamson, NY 14589, USA"
36,U.S.A.,US,Wolcott,New York,"11807 West Main Street Wolcott, NY 14590",,(315) 594-8991,JIKJN Joseph Burnett,43.2238496,-76.8244564,RANGE_INTERPOLATED,"11807 W Main St, Wolcott, NY 14590, USA"
37,U.S.A.,US,Greensboro,North Carolina,"N.C. A&T State University 1601 East Market Street Greensboro, NC 27411",,,PKJN Steve Hurley,36.0721142,-79.7744842,ROOFTOP,"120, Gibbs Hall, 1601 E Market St, Greensboro, NC 27411, United States"
38,U.S.A.,US,Luke AFB,Arizona,"NEW!!! Luke AFB Bryant Fitness Center & Youth Center 14185 West Falcon Street Glendale, AZ 85309",,(623) 337-0258,Inst. Angela Hoikka,33.5338846,-112.3599483,ROOFTOP,"14053 W Shooting Star, Glendale, AZ 85309, USA"
39,U.S.A.,US,Phoenix,Arizona,"NEW!!! 126 W. Desert Hills Phoenix, AZ 85086",,(623) 337-0258,Inst. Angela Hoikka,33.8442426,-112.077119,ROOFTOP,"126 W Desert Hills Dr, Phoenix, AZ 85086, USA"
40,U.S.A.,US,Surprise/ Sun Ciity West,Arizona,"NEW!!! 14465 RH Johnson Blvd Sun City West, AZ 85375",https://chamberorganizer.com/surprise/mem_kuksoolwon,(623) 518-0056,JIKJN Terry Heaps,33.6694225,-112.3706139,ROOFTOP,"14465 W R H Johnson Blvd, Sun City West, AZ 85375, USA"
41,U.S.A.,US,Berkeley,California,"2438 Sacramento Street Berkeley, CA",,(510) 540-8070,JDKJN Tom Brewer,37.8625611,-122.2814939,ROOFTOP,"2438 Sacramento St, Berkeley, CA 94702, USA"
42,U.S.A.,US,DIXON,California,"201 SOUTH FIFTH ST DIXON, CA 95620",,(530) 908-0756,Inst. Tiffany Bunn,38.444632,-121.81705,ROOFTOP,"201 S 5th St, Dixon, CA 95620, USA"
43,U.S.A.,US,Dublin,California,"4558 Dublin Blvd. Dublin, CA 94568",http://www.kuksoolwonofdublin.com ,(925) 551-8200,JIKJN Seyd Saidi,37.7048401,-121.8811595,ROOFTOP,"4558 Dublin Blvd, Dublin, CA 94568, USA"
44,U.S.A.,US,El Dorado Hills,California,"2222 Francisco Blvd. El Dorado Hills, CA 95762",http://www.kuksoolwonplacerville.com/,(530) 642-9031,PKJN Justin Painter,38.710469,-121.0863537,ROOFTOP,"600, 2222 Francisco Dr, El Dorado Hills, CA 95762, USA"
45,U.S.A.,US,Gold Country,California,"127 Argall Way Nevada City, CA 95959",http://www.goldcountrykuksoolwon.com/,(530) 478-1412,JIKJN Tony Reyna,39.2523558,-121.024882,ROOFTOP,"127 Argall Way, Nevada City, CA 95959, USA"
46,U.S.A.,US,Half Moon Bay,California,"432- B Main St Half Moon Bay, CA 94019",,(650) 726-4132,JIKJN Paul Carmody,37.464039,-122.429332,ROOFTOP,"432B Main St, Half Moon Bay, CA 94019, USA"
47,U.S.A.,US,Huntington Beach,California,"NEW!! Lake Park Clubhouse 1035 11th Street Huntington Beach, CA 92648",,(661) 644-6514,JIKJN Gene Gause,33.668639,-117.99919,ROOFTOP,"1035 11th St, Huntington Beach, CA 92648, USA"
48,U.S.A.,US,Lake Hughes,California,"17520 Lake Elizabeth Road Lake Hughes, CA 93532",http://lakesksw.com/,(661) 202-8085,PKJN David Collins,34.6730407,-118.4397326,ROOFTOP,"17520 Elizabeth Lake Rd, Lake Hughes, CA 93532, USA"
49,U.S.A.,US,Lincoln,California,"2010 First Street Lincoln, CA 95648",http://www.lincolnkuksoolwon.com,(916) 253-3801,Inst. John Santilena,38.8875157,-121.3144153,ROOFTOP,"2010 1st St, Lincoln, CA 95648, USA"
50,U.S.A.,US,Los Altos,California,"NEW LOCATION ! 347- 1 Street Los Altos, CA 94022",http://kswmountainview.com/,(650) 938-1553,JIKJN.David Hespelt,37.3766535,-122.1163769,ROOFTOP,"347 1st St, Los Altos, CA 94022, USA"
51,U.S.A.,US,Menlo Park,California,"Burgess Recreation Center 700 Alma Street Menlo Park, CA 94025",http://www.menlokuksool.com/,(650) 787-2226,PKJN. Kristin Quintana,37.4531634,-122.1777625,ROOFTOP,"700 Alma St, Menlo Park, CA 94025, USA"
52,U.S.A.,US,Millbrae,California,"30 Rollins Road Millbrae, CA 94030 (650) 692-KICK (5425)",http://www.Millbraemartialarts.com,,Inst. Dong Nguyen,37.5993939,-122.383542,ROOFTOP,"30 Rollins Rd, Millbrae, CA 94030, USA"
53,U.S.A.,US,Palmdale,California,"38218 6th Street East Palmdale, CA 93550",,(661) 947-3992;(661) 273-3235,PKJN Antony Kinzell,34.5756624,-118.1174228,ROOFTOP,"38218 6th St E, Palmdale, CA 93550, USA"
54,U.S.A.,US,Placerville,California,"5690 Motherlode Drive Placerville, CA 95667",http://www.kuksoolwonplacerville.com/,,PKJN Justin Painter,38.6800584,-120.8694712,RANGE_INTERPOLATED,"5690 Mother Lode Dr, Placerville, CA 95667, USA"
55,U.S.A.,US,Redwood City,California,"2135 Roosevelt Ave Redwood City, CA 94061",,(650) 368-2761,JDKJN Hafez Adle,37.4660599,-122.2410515,ROOFTOP,"2135 Roosevelt Ave, Redwood City, CA 94061, USA"
56,U.S.A.,US,Rohnert Park,California,"320 Professional Drive, #150 Rohnert Park, CA 94928",http://www.kuksoolwonrohnertpark.com,(707) 494-1151,PKJN Debra Taylor,38.3556738,-122.7067741,ROOFTOP,"320 Professional Center Dr #150, Rohnert Park, CA 94928, USA"
57,U.S.A.,US,Sacramento,California,"Mather Sports Complex 3755 Schriever Ave Mather, CA 95655",http://www.kswofsacramento.com,(916) 308-6577,PKJN. Kymberly Wadsworth,38.571255,-121.301653,ROOFTOP,"3755 Schriever Ave, Mather, CA 95655, USA"
58,U.S.A.,US,San Francisco,California,"NEW Location! 25 Lake Street San Francisco, CA 94118 415-868-KICK",http://www.kuksoolwonsf.com,,PKJN. Leora Goren,37.7867097,-122.4598082,ROOFTOP,"25 Lake St, San Francisco, CA 94118, USA"
59,U.S.A.,US,San Lorenzo,California,"17321 Hesperian Blvd. San Lorenzo, CA 94580",http://slzkuksoolwon.com,(510) 276-3834,JIKJN Seyd Saidi,37.6754299,-122.1245023,ROOFTOP,"17321 Hesperian Blvd, San Lorenzo, CA 94580, USA"
60,U.S.A.,US,San Mateo,California,"31 West 25th Avenue San Mateo, CA",http://www.smkuksool.com/index.htm,(650) 570-5991,JIKJN Tim Sheehan,37.5437417,-122.3064776,ROOFTOP,"31 W 25th Ave, San Mateo, CA 94403, USA"
61,U.S.A.,US,Santa Clarita,California,"27831 Smyth Drive Valencia, CA 91355",,(661) 523-3455,Inst. Sydney Albert,34.4395613,-118.5663097,ROOFTOP,"27831 Smyth Dr, Valencia, CA 91355, USA"
62,U.S.A.,US,Sherman Oaks,California,"New Location!  Sherman Oaks East Valley Adult Center 5056 Van Nuys Boulevard Van Nuys, CA 91403",http://www.nohomartialarts.com,(818) 859-2670,Inst. Christa Wilson,34.1631891,-118.44838,ROOFTOP,"5056 Van Nuys Blvd, Sherman Oaks, CA 91403, USA"
63,U.S.A.,US,Sylmar,California,"NEW!!! 13788A Foothill Blvd. Sylmar, CA 91342",,(818) 939-8800,Inst. Nathan Hemmens,34.3097432,-118.4335721,ROOFTOP,"13788 Foothill Blvd, Sylmar, CA 91342, USA"
64,U.S.A.,US,Visitacion Valley,California,"189 Leland Ave St San Fransico, CA",http://www.visvalleyksw.com,(415) 298-5360,Inst. Jorge Liberona,37.7124363,-122.4072425,ROOFTOP,"189 Leland Ave, San Francisco, CA 94134, USA"
65,U.S.A.,US,Wheatland,California,"420 Front Street Wheatland, CA 95692",http://www.kswwheatland.com/index.htm,(530) 713-2379,PKJN Rick Cairnes,39.0105021,-121.4227833,ROOFTOP,"420 Front St, Wheatland, CA 95692, USA"
66,U.S.A.,US,Woodland,California,"618 Cottonwood St. Woodland, CA",http://www.kswofwoodland.com/,(530) 406-0618,PKJN Justin Bunn,38.673522,-121.7944878,ROOFTOP,"618 Cottonwood St, Woodland, CA 95695, USA"
67,U.S.A.,US,Yuba City,California,"236 Bridge St. Yuba City, CA 95991",http://yckuksool.com,(530) 821-2275,PKJN Daniel Tejada,39.1373965,-121.6087783,ROOFTOP,"236 Bridge St, Yuba City, CA 95991, USA"
68,U.S.A.,US,Fort Smith (River Valley),Arkansas,"3112 Cavanaugh Road Fort Smith, AR 72903",http://www.kswoftherivervalley.com,(479) 649-3542,JIKJN Mike Gray,35.3112678,-94.4016202,ROOFTOP,"3112 Cavanaugh Rd, Fort Smith, AR 72908, USA"
69,U.S.A.,US,Ft. Smith,Arkansas,"University of Arkansas 5210 Grand Ave Ft Smith, AR 72913",,(479) 883-6456,JDKJN Jerry Sallee,35.3821461,-94.3738577,ROOFTOP,"5210 Grand Ave, Fort Smith, AR 72904, USA"
70,U.S.A.,US,Greenwood,Arkansas,"1507 Highway 10 Greenwood, AR",,(479) 806-4066,JIKJN Tim Nixon,35.2032531,-94.2823554,RANGE_INTERPOLATED,"1507 AR-10, Greenwood, AR 72936, USA"
71,U.S.A.,US,Jacksonville,Arkansas,"210 Martin St Jacksonville, AR 72076",,(501) 952-0423,PKJN Cleo Randall,34.8662005,-92.1101458,APPROXIMATE,"Jacksonville, AR, USA"
72,U.S.A.,US,Mountainburg,Arkansas,"NEW! Baptist Church 220 Elm Street Mountainburg, AR 72946",,(479) 883-6456,JDKJN Jerry Sallee,35.6356396,-94.167428,APPROXIMATE,"Mountainburg, AR 72946, USA"
73,U.S.A.,US,Rogers,Arkansas,"4106 Honeysuckle Rogers, AR 72758",http://www.kuksoolwon-rogers.com,(479) 986-8000,PKJN Eric Spivey,36.2829494,-94.1274692,ROOFTOP,"4106 Honeysuckle Ln, Rogers, AR 72758, USA"
74,U.S.A.,US,Hurlburt Field,Florida,"Aderholt Fitness Center 259 Tully Street - Bldg 90517 Hurlburt Field, FL 32544",http://www.kuksoolwon-hurlburt.com/,(850) 543-1986;(407) 443-3387,PKJN Amado Garcia,30.4230603,-86.7053961,ROOFTOP,"259 Tully St, Hurlburt Field, FL 32544, USA"
75,U.S.A.,US,Palm Coast,Florida,"NEW!!! Belle Terre Swim and Racquet Club 73 Patricia Drive Palm Coast, FL 32164",,(315) 729-2202,PKJN Tim Webster,29.5389158,-81.2211286,ROOFTOP,"73 Patricia Dr, Palm Coast, FL 32164, USA"
76,U.S.A.,US,Gretna,Louisiana,"835 Gretna Blvd Gretna, LA 70053",http://www.kuksoolwonofgretna.com,(504) 365-0111,Inst. Ryan Tardiff,29.89636,-90.04982,ROOFTOP,"835 Gretna Blvd, Gretna, LA 70053, USA"
77,U.S.A.,US,Uptown New Orleans,Louisiana,"International School of New Orleans 1400 Camp Street New Orleans, LA 70103",,(504) 236-8036,Inst. Quan Le,29.9362691,-90.0726236,ROOFTOP,"1400 Camp St, New Orleans, LA 70130, USA"
78,U.S.A.,US,Xavier University,Louisiana,"NEW!!! Xavier University 1 Drexel Drive New Orleans, LA 70125",,(806) 577-8006,Inst. Francisco Miramontes,29.963863,-90.107084,ROOFTOP,"1 Drexel Dr, New Orleans, LA 70125, USA"
79,U.S.A.,US,Pryor,Oklahoma,"Pryor Creek Recreational Center 1111 Southeast 9th Street Pryor, OK 74361",,(918) 344-9483,Inst. Michelle Brasher,36.2942055,-95.30378739999999,ROOFTOP,"1111 SE 9th St, Pryor, OK 74361, USA"
80,U.S.A.,US,Tahlequah,Oklahoma,"NEW location! 2051 Mahaney Ave. Tahlequah, OK 74464",,(918) 457-9440,Inst. Trevor Crouch,35.8894532,-94.9738778,ROOFTOP,"2051 Mahaney Ave, Tahlequah, OK 74464, USA"
81,U.S.A.,US,Tinker AFB,Oklahoma,"NEW !!! Tinker Youth Center 4460 McNarney Ave Oklahoma City, OK 73145",,(405) 371-5592,Inst. Michael Grimes,35.4214746,-97.41805140000001,ROOFTOP,"Tinker Air Force Base, 4460 McNarney Ave, Oklahoma City, OK 73145, United States"
82,U.S.A.,US,Anderson,South Carolina,"1107 North Murray Ave. Anderson, SC 29621",http://www.upstatekuksoolwon.com/,(864) 360-0174,JDKJN Daniel Middleton,34.512242,-82.65543799999999,ROOFTOP,"1107 N Murray Ave, Anderson, SC 29625, USA"
83,U.S.A.,US,Clemson,South Carolina,"1085 Old Clemson Hwy Seneca, SC 29672",,(864) 653-0570,Inst. Sarah Gordinier,34.69688319999999,-82.87710120000001,ROOFTOP,"1085 Old Clemson Hwy, Seneca, SC 29672, USA"
84,U.S.A.,US,Florence,South Carolina,"3015#C East Palmetto Street Florence, SC",http://www.kswflorence.org,(843) 665-2100,PKJN. Cliff Bailey,34.1973569,-79.707077,ROOFTOP,"3015C E Palmetto St, Florence, SC 29506, USA"
85,U.S.A.,US,Greenville,South Carolina,"5314 Wade Hampton Blvd.  Taylors, SC 29687",http://kuksoolwongreenville.blogspot.com/,(864) 517-8075,PKJN. Toan Pham,34.933851,-82.28086069999999,ROOFTOP,"5314 Wade Hampton Blvd, Taylors, SC 29687, USA"
86,U.S.A.,US,Greenville,South Carolina,"Carolina School of Massage 1313A Miller Rd. Greenville, SC 29607",http://www.upstatekuksoolwon.com/,(864) 860-0174,JDKJN Daniel Middleton,34.819153,-82.28493499999999,ROOFTOP,"210 Adley Way, Greenville, SC 29607, USA"
87,U.S.A.,US,Lake City,South Carolina,"NEW!! 416 West Main Street Lake City, SC 29560",,,Inst. Amber Dickerson,33.8783001,-79.7691494,RANGE_INTERPOLATED,"416 W Main St, Lake City, SC 29560, USA"
88,U.S.A.,US,University of Memphis,South Carolina,"TENNESSEE University of Memphis Memphis, TN 38104",,(414) 467-3613,Inst. Michael Monahan,35.118741,-89.937141,ROOFTOP,"3720 Alumni Ave, Memphis, TN 38152, USA"
89,U.S.A.,US,Abilene,Texas,"2401 S. 7th Abilene, TX 79605",https://abilenemartialartcenter.com,(325) 692-0100,JIKJN Phillip Sage,32.443481,-99.7514453,ROOFTOP,"2401 S 7th St, Abilene, TX 79605, USA"
90,U.S.A.,US,ALVIN,Texas,"900 FM 1462 ALVIN, TX 77511",http://www.kswalvin.com,(281) 742-4292,Instr. Joseph Perkins,29.4016125,-95.246607,ROOFTOP,"900 FM 1462, Alvin, TX 77511, USA"
91,U.S.A.,US,AUSTIN (EISD),Texas,"AUSTIN EANES SCHOOL DISTRICT 601 Camp Craft Rd Austin, TX 78746",,(937) 369-1136,Inst. Darryl Gholston,30.2781556,-97.8164506,ROOFTOP,"601 Camp Craft Rd, Austin, TX 78746, USA"
92,U.S.A.,US,Austin (Oak Hill),Texas,"6001 W. Williams Cannon, Suite 307 Austin, TX 78749",http://www.kswoakhill.com,(512) 899-8710,PKJN Timothy King,30.2280988,-97.86284959999999,ROOFTOP,"6001 W William Cannon Dr #307, Austin, TX 78749, USA"
93,U.S.A.,US,Baytown,Texas,"2827 North Alexander Baytown, TX 77520",http://www.kuksoolwon.com,(281) 428-4930,PKJN Tommy Nance,29.7526537,-94.94438459999999,ROOFTOP,"2827 N Alexander Dr, Baytown, TX 77520, USA"
94,U.S.A.,US,Boerne,Texas,"OPEN SOON ! 37131 IH 10 West Boerne, TX 78006",,(210) 912-4300,inst. Kenneth Thibodeaux,29.79466409999999,-98.7319703,APPROXIMATE,"Boerne, TX 78006, USA"
95,U.S.A.,US,Brownsville,Texas,"1601 Alton Gloor Suite 110 Brownsville, TX 78521",,(956) 372-1664,PKJN Raul Sosa III,25.9824391,-97.4857078,ROOFTOP,"1601 E Alton Gloor Blvd #110, Brownsville, TX 78526, USA"
96,U.S.A.,US,Cinco Ranch,Texas,"Coming Soon in August 2017!   4747 FM 1463 Suite #900 Katy, Texas 77494",,(713) 231-4632,Inst. Chris Pak,29.7231705,-95.845522,ROOFTOP,"4747 FM 1463 #900, Katy, TX 77494, USA"
97,U.S.A.,US,Clear Lake,Texas,"15230 HWY 3 Webster, TX 77598",http://www.kuksoolwoncl.com,(281) 486-5425,SSKJN Barry Harmon,29.5656913,-95.1447216,ROOFTOP,"15230 TX-3, Webster, TX 77598, USA"
98,U.S.A.,US,Katy,Texas,"4414 Cobalt Cross St. Katy, Texas 77493",http://www.kuksoolwonkaty.com,(281) 615-3542,PKJN Ron Michael,29.8377062,-95.7780279,ROOFTOP,"4414 Cobalt Cross St, Katy, TX 77493, USA"
99,U.S.A.,US,Kingwood,Texas,"910 Russell Palmer Road Kingwood, TX 77339-1601",http://kuksool-kingwood.com/,(281) 359-5425,SIKJN Richard Roper,30.0640153,-95.2268715,ROOFTOP,"910 Russell Palmer Rd, Kingwood, TX 77339, USA"
100,U.S.A.,US,Magnolia,Texas,"World HQ 37937 FM 1774 Magnolia, TX 77355",,(832) 934-1400,,30.1906117,-95.7186761,ROOFTOP,"37937 FM 1774, Magnolia, TX 77355, USA"
101,U.S.A.,US,Murphy (Dallas),Texas,"Murphy Community Center 205 N Murphy Road Murphy, TX 75094",http://www.kuksoolwondfw.com,(972) 767-9062,Inst. Hong  Cho,33.016583,-96.613559,ROOFTOP,"205 N Murphy Rd, Murphy, TX 75094, USA"
102,U.S.A.,US,Pearland,Texas,New location to be announced soon.,http://www.kuksoolpmac.com,,PKJN Alana Groneman,37.09024,-95.712891,APPROXIMATE,United States
103,U.S.A.,US,Prosper (Dallas),Texas,"114 W. Broadway Street Prosper, TX 75078 Dallas Metro Area",http://www.kuksoolwondfw.com,(469) 307-9940,Inst. Wendy Herrmann,33.2364694,-96.80278179999999,ROOFTOP,"114 W Broadway St, Prosper, TX 75078, USA"
104,U.S.A.,US,Richmond,Texas,"1125 Crabb River Road Richmond, TX 77469",http://www.kuksoolwonofrichmondtexas.com,(832) 595-2299,Inst. Robert Kuemmel,29.5511454,-95.697699,ROOFTOP,"1125 Crabb River Rd, Richmond, TX 77469, USA"
105,U.S.A.,US,San Antonio,Texas,"6812 Bandera Rd #109 San Antonio, TX 78238-3552",http://www.kuksoolwonofcrossway.com,(210) 520-0432,JIKJN Daniel Jolly,29.4979371,-98.6236093,ROOFTOP,"6812 Bandera Rd #109, San Antonio, TX 78238, USA"
106,U.S.A.,US,San Antonio (Alamo Heights),Texas,"1149 Harry Wurzbach Rd. San Antonio, TX 78209-640 210-824-KICK(5425)",http://kuksoolwonofalamoheights.homestead.com,,PKJN Frankie Cade,29.4699256,-98.43833540000001,ROOFTOP,"1149 Harry Wurzbach Rd, San Antonio, TX 78209, USA"
107,U.S.A.,US,San Antonio (Walzem),Texas,"5530 Walzem Road San Antonio, TX 78218",http://www.txkuksoolwon.com,(210) 599-8211,PKJN Lawson Plummer,29.5102815,-98.3792684,ROOFTOP,"5530 Walzem Rd, San Antonio, TX 78218, USA"
