City,Region,Address,Phone #s,Instructor
Ft. Smith,Arkansas,"University of Arkansas 5210 Grand Ave Ft Smith, AR 72913",(479) 883-6456,JDKJN Jerry Sallee
Greenwood,Arkansas,"1507 Highway 10 Greenwood, AR",(479) 806-4066,JIKJN Tim Nixon
Jacksonville,Arkansas,"210 Martin St Jacksonville, AR 72076",(501) 952-0423,PKJN Cleo Randall
Mountainburg,Arkansas,"NEW! Baptist Church 220 Elm Street Mountainburg, AR 72946",(479) 883-6456,JDKJN Jerry Sallee
Rogers,Arkansas,"4106 Honeysuckle Rogers, AR 72758",(479) 986-8000,PKJN Eric Spivey
Hurlburt Field,Florida,"Aderholt Fitness Center 259 Tully Street - Bldg 90517 Hurlburt Field, FL 32544",(850) 543-1986;(407) 443-3387,PKJN Amado Garcia
Palm Coast,Florida,"NEW!!! Belle Terre Swim and Racquet Club 73 Patricia Drive Palm Coast, FL 32164",(315) 729-2202,PKJN Tim Webster
Gretna,Louisiana,"835 Gretna Blvd Gretna, LA 70053",(504) 365-0111,Inst. Ryan Tardiff
Uptown New Orleans,Louisiana,"International School of New Orleans 1400 Camp Street New Orleans, LA 70103",(504) 236-8036,Inst. Quan Le
Xavier University,Louisiana,"NEW!!! Xavier University 1 Drexel Drive New Orleans, LA 70125",(806) 577-8006,Inst. Francisco Miramontes
Pryor,Oklahoma,"Pryor Creek Recreational Center 1111 Southeast 9th Street Pryor, OK 74361",(918) 344-9483,Inst. Michelle Brasher
Tahlequah,Oklahoma,"NEW location! 2051 Mahaney Ave. Tahlequah, OK 74464",(918) 457-9440,Inst. Trevor Crouch
Tinker AFB,Oklahoma,"NEW !!! Tinker Youth Center 4460 McNarney Ave Oklahoma City, OK 73145",(405) 371-5592,Inst. Michael Grimes
Anderson,South carolina,"1107 North Murray Ave. Anderson, SC 29621",(864) 360-0174,JDKJN Daniel Middleton
Clemson,South carolina,"1085 Old Clemson Hwy Seneca, SC 29672",(864) 653-0570,Inst. Sarah Gordinier
Florence,South carolina,"3015#C East Palmetto Street Florence, SC",(843) 665-2100,PKJN. Cliff Bailey
Greenville,South carolina,"5314 Wade Hampton Blvd.  Taylors, SC 29687",(864) 517-8075,PKJN. Toan Pham
Greenville,South carolina,"Carolina School of Massage 1313A Miller Rd. Greenville, SC 29607",(864) 860-0174,JDKJN Daniel Middleton
Lake City,South carolina,"NEW!! 416 West Main Street Lake City, SC 29560",,Inst. Amber Dickerson
University of Memphis,South carolina,"TENNESSEE University of Memphis Memphis, TN 38104",(414) 467-3613,Inst. Michael Monahan
Abilene,Texas,"2401 S. 7th Abilene, TX 79605",(325) 692-0100,JIKJN Phillip Sage
ALVIN,Texas,"900 FM 1462 ALVIN, TX 77511",(281) 742-4292,Instr. Joseph Perkins
AUSTIN (EISD),Texas,"AUSTIN EANES SCHOOL DISTRICT 601 Camp Craft Rd Austin, TX 78746",(937) 369-1136,Inst. Darryl Gholston
Austin (Oak Hill),Texas,"6001 W. Williams Cannon, Suite 307 Austin, TX 78749",(512) 899-8710,PKJN Timothy King
Baytown,Texas,"2827 North Alexander Baytown, TX 77520",(281) 428-4930,PKJN Tommy Nance
Boerne,Texas,"OPEN SOON ! 37131 IH 10 West Boerne, TX 78006",(210) 912-4300,inst. Kenneth Thibodeaux
Brownsville,Texas,"1601 Alton Gloor Suite 110 Brownsville, TX 78521",(956) 372-1664,PKJN Raul Sosa III
Cinco Ranch,Texas,"Coming Soon in August 2017!   4747 FM 1463 Suite #900 Katy, Texas 77494",(713) 231-4632,Inst. Chris Pak
Clear Lake,Texas,"15230 HWY 3 Webster, TX 77598",(281) 486-5425,SSKJN Barry Harmon
Katy,Texas,"4414 Cobalt Cross St. Katy, Texas 77493",(281) 615-3542,PKJN Ron Michael
Kingwood,Texas,"910 Russell Palmer Road Kingwood, TX 77339-1601",(281) 359-5425,SIKJN Richard Roper
Magnolia,Texas,"World HQ 37937 FM 1774 Magnolia, TX 77355",(832) 934-1400,
Murphy (Dallas),Texas,"Murphy Community Center  205 N Murphy Road Murphy, TX 75094",(972) 767-9062,Inst. Hong  Cho
Pearland,Texas,New location to be announced soon.,,PKJN Alana Groneman
Prosper (Dallas),Texas,"114 W. Broadway Street Prosper, TX 75078 Dallas Metro Area",(469) 307-9940,Inst. Wendy Herrmann
Richmond,Texas,"1125 Crabb River Road Richmond, TX 77469",(832) 595-2299,Inst. Robert Kuemmel
San Antonio,Texas,"6812 Bandera Rd #109 San Antonio, TX 78238-3552",(210) 520-0432,JIKJN Daniel Jolly
San Antonio (Alamo Heights),Texas,"1149 Harry Wurzbach Rd. San Antonio, TX 78209-640 210-824-KICK(5425)",,PKJN Frankie Cade
San Antonio (Walzem),Texas,"5530 Walzem Road San Antonio, TX 78218",(210) 599-8211,PKJN Lawson Plummer
San Marcos,Texas,"Coming soon in September 2017 1330 Aquarena Springs Dr. Suite 107 San Marcos, TX 78666",(512) 997-8052,Inst. Eric Morales
The Woodlands East,Texas,"New Location!!! 506 Sawdust Road The Woodlands, TX 77380",(713) 937-7885,Inst. Todd Thurman
The Woodlands West,Texas,"32215 Tamina Road Magnolia, TX 77354",(281) 259-6333,JIKJN Joseph Foster
Tomball,Texas,"20295 F.M.2920 Rd. Tomball, TX 77377",(281) 255-4321,SIKJN Alex Suh
