City,Region,Address,Phone #s,Instructor,Latitude,Longitude,Geocode Type
Brentwood,Missouri,"Brentwood Rec. Center 2505 S. Brentwood Blvd.  Brentwood, MO 63144",(636) 928-0035,JIKJN Lee Harvey,38.6175522,-90.34928289999999,APPROXIMATE
O' Fallon,Missouri,"929 N. Main St. O' Fallon, MO 63366",(636) 978-5425,PKJN. Kelly  Fleites,38.820889,-90.70013399999999,ROOFTOP
St. Louis,Missouri,"#1 East Sutters Mill Road St. Peters, MO 63376",(636) 928-0035,JDKJN Jack Harvey,38.7790724,-90.5774589,ROOFTOP
Cleveland,Ohio,"Cleveland Heights Recreation Center 1 Montecello Blvd.  Cleveland Heights, OH 44118",(216) 501-3063,Inst. David Pritts,41.49932,-81.6943605,APPROXIMATE
Dayton,Ohio,"Christian Life Center 3489 Little York Rd. Dayton, OH 45414",(937) 836-2149,Inst. Cindy Redolfi,39.7589478,-84.1916069,APPROXIMATE
Streetsboro,Ohio,"Streetsboro Recreation Center 9184 St. Rt 43 Streetsboro, OH 44241",(440) 336-2833,PKJN Bob Williams,41.2412634,-81.3439655,APPROXIMATE
Madison,Wisconsin,"University of Wisconsin Eagle Heights Community Center 611 Eagle Heights Madison, WI 53705",(281) 253-7944,Inst. Max Magee,43.0730517,-89.4012302,APPROXIMATE
Milwaukee,Wisconsin,"2810 N. Bremen St. Milwaukee, WI 53201",(414) 467-3613,Inst. Michael Monahan,43.069564,-87.90000099999999,ROOFTOP
Wilmington,Delaware,"2601 Carpenter Station Rd #16 WIlmington, DE 19810",(302) 757-9789,SIKJN Sung Gu Yea,39.821839,-75.4642705,ROOFTOP
Washington,District of columbia,605 Rhode Island Avenue NE Washigton DC 20019,(301) 801-4398,Inst. Russell Moore,38.9203646,-76.99774409999999,ROOFTOP
Capitol Heights,Maryland,"NEW location!!! 7905 Central Ave Capitol Heights, MD 20743",(202) 437-2548,PKJN. Marlin Godfrey,38.8885836,-76.869467,ROOFTOP
Dunkirk,Maryland,"10379 Southern Maryland Blvd. Dunkirk, MD 20754",(410) 286-0068,PKJN. Marlin Godfrey,38.720548,-76.6606157,RANGE_INTERPOLATED
Landover,Maryland,"8001 Sheriff Rd Landover, MD 20785",(202) 437-2548,PKJN. Marlin Godfrey,38.9112604,-76.8673592,ROOFTOP
N. Laurel,Maryland,"New School ! North Laurel Community Center 9411 Whiskey Botton Rd Laurel, MD 20723",(301) 509-2030,Inst. Darren Fulmore,39.1389968,-76.8705293,APPROXIMATE
Clinton,Massachusetts,"386 High St Clinton, MA 01510",(978) 706-1779,Inst. Kenneth Schalk,42.4225752,-71.6839306,ROOFTOP
Auburn,New york,"NEW Location !!! 100 Genesee St Auburn, NY 13021",(315) 729-2202,Inst. Tim Webster,42.9310209,-76.56657489999999,ROOFTOP
Saratoga Springs,New york,"54 Weibel Ave  Saratoga Springs, NY 12866",(518) 242-9968,Inst. Jason Tetu,43.0936257,-73.7435465,ROOFTOP
Webster,New york,"396 Route 104 Ontario, NY 14519",(585) 216-2122,JDKJN Gary Evarts,43.22486199999999,-77.36005399999999,ROOFTOP
Williamson,New york,"4081 West Main Street Williamson, NY 14589",(315) 589-4066,JDKJN Gary Evarts,43.2238961,-77.18682869999999,RANGE_INTERPOLATED
Wolcott,New york,"11807 West Main Street Wolcott, NY 14590",(315) 594-8991,PKJN Joseph Burnett,43.2232753,-76.8232012,RANGE_INTERPOLATED
Greensboro,North carolina,"N.C. A&T State University 1601 East Market Street Greensboro, NC 27411",,PKJN Steve Hurley,36.0726354,-79.7919754,APPROXIMATE
Beale AFB,California,"Beale AFB Wheatland, CA 95692",(530) 218-6425,Inst. Richard Rountree,39.0098946,-121.4230133,APPROXIMATE
Berkeley,California,"2438 Sacramento Street Berkeley, CA",(510) 540-8070,JDKJN Tom Brewer,37.86254810000001,-122.2814746,ROOFTOP
DIXON,California,"201 SOUTH FIFTH ST DIXON, CA 95620",(530) 908-0756,Inst. Tiffany Bunn,38.444632,-121.81705,ROOFTOP
Dublin,California,"4558 Dublin Blvd. Dublin, CA 94568",(925) 551-8200,JIKJN Seyd Saidi,37.7048401,-121.8811595,ROOFTOP
El Dorado Hills,California,"2222 Francisco Blvd. El Dorado Hills, CA 95762",(530) 642-9031,Inst. Justin Painter,38.7101949,-121.0864841,ROOFTOP
Gold Country,California,"127 Argall Way Nevada City, CA 95959",(530) 478-1412,JIKJN Tony Reyna,39.2526257,-121.0245607,RANGE_INTERPOLATED
Half Moon Bay,California,"432- B Main St Half Moon Bay, CA 94019",(650) 726-4132,PKJN Paul Carmody,37.4635519,-122.4285862,APPROXIMATE
Huntington Beach,California,***Now Open *** Please call for directions,(661) 210-6837,JIKJN Gene Gause,33.660297,-117.9992265,APPROXIMATE
Lake Hughes,California,"17520 Lake Elizabeth Road Lake Hughes, CA 93532",(661) 202-8085,Inst. John Gragowski,34.673073,-118.439895,ROOFTOP
Lincoln,California,"2010 First Street Lincoln, CA 95648",(916) 253-3801,Inst. John Santilena,38.8875157,-121.3144153,ROOFTOP
Los Altos,California,"NEW LOCATION ! 347- 1 Street Los Altos, CA 94022",(650) 938-1553,JIKJN.David Hespelt,37.3766535,-122.1163769,ROOFTOP
Menlo Park,California,"Burgess Recreation Center 700 Alma Street Menlo Park, CA 94025",(650) 787-2226,PKJN. Kristin Quintana,37.4519871,-122.1757555,APPROXIMATE
Millbrae,California,"30 Rollins Road Millbrae, CA 94030 (650) 692-KICK (5425)",,Inst. Dong Nguyen,37.5985468,-122.3871942,APPROXIMATE
North Hollywood,California,"NoHo Commons 11020 Magnolia Blvd. North Hollywood, CA 91601",(818) 859-2670,Inst. Christa Wilson,34.187044,-118.3812562,APPROXIMATE
Pacifica,California,"1367 Linda Mar Center Pacifica, CA 94044",(650) 228-6714,Inst. Stacy Naegeli,37.5933405,-122.5040197,ROOFTOP
Palmdale,California,"38218 6th Street East Palmdale, CA 93550",(661) 947-3992;(661) 273-3235,Inst. Antony Kinzell,34.5757227,-118.1175953,RANGE_INTERPOLATED
Placerville,California,"5690 Motherlode Drive Placerville, CA 95667",,Inst. Justin Painter,38.6802251,-120.8698154,RANGE_INTERPOLATED
Redwood City,California,"2135 Roosevelt Ave  Redwood City, CA 94061",(650) 368-2761,JDKJN Hafez Adle,37.4660422,-122.2409369,ROOFTOP
Rohnert Park,California,"320 Professional Drive, #150 Rohnert Park, CA 94928",(707) 494-1151,Inst. Debra Taylor,38.3557492,-122.7068723,ROOFTOP
Sacramento,California,"9725 B Folsom Blvd Sacramento, CA, 95827",(916) 308-6577,PKJN. Kymberly Wadsworth,38.5732339,-121.334949,RANGE_INTERPOLATED
San Francisco,California,"NEW Location! 1119 Fillmore St. San Francisco, CA 94123 415-868-KICK",,PKJN. Leora Goren,37.7749295,-122.4194155,APPROXIMATE
San Lorenzo,California,"17321 Hesperian Blvd. San Lorenzo, CA 94580",(510) 276-3834,JIKJN Seyd Saidi,37.675343,-122.1246146,ROOFTOP
San Mateo,California,"31 West 25th Avenue San Mateo, CA",(650) 570-5991,JIKJN Tim Sheehan,37.543729,-122.3064635,ROOFTOP
Santa Clarita,California,"NEW!!! 24640 Wiley Canyon Rd Santa Clarita, CA 91321",(661) 331-1892,Inst. Sydney Albert,34.364558,-118.5544679,ROOFTOP
Visitacion Valley,California,"189 Leland Ave St San Fransico, CA",(415) 298-5360,Inst. Jorge Liberona,37.7123009,-122.40729,ROOFTOP
Wheatland,California,"420 Front Street Wheatland, CA 95692",(530) 713-2379,PKJN Rick Cairnes,39.0103098,-121.4228953,RANGE_INTERPOLATED
Woodland,California,"618 Cottonwood St. Woodland, CA",(530) 406-0618,PKJN. Justin Bunn,38.6734112,-121.7933434,RANGE_INTERPOLATED
Yuba City,California,"236 Bridge St. Yuba City, CA 95991",(530) 821-2275,PKJN Daniel Tejada,39.1373978,-121.6087824,ROOFTOP
Great Falls,Montana,"Community Recreation Center 801 2nd Ave. N. Great Falls, MT 59401",(406) 868-9242,Inst. Keith Morris,47.4941836,-111.2833449,APPROXIMATE
Fort Smith (River Valley),Arkansas,"3112 Cavanaugh Road Fort Smith, AR 72903",(479) 649-3542,PKJN Mike Gray,35.31162,-94.4019976,RANGE_INTERPOLATED
Ft. Smith,Arkansas,"University of Arkansas 5210 Grand Ave Ft Smith, AR 72913",(479) 883-6456,JDKJN Jerry Sallee,35.3840159,-94.37279060000002,APPROXIMATE
Greenwood,Arkansas,"1507 Highway 10 Greenwood, AR",(479) 806-4066,PKJN Tim Nixon,35.2156489,-94.25576629999999,APPROXIMATE
Jacksonville,Arkansas,"628 W. Main Street Jacksonville, AR 72076",(501) 982-8739,PKJN Cleo Randall,34.8671769,-92.11643629999999,RANGE_INTERPOLATED
Rogers,Arkansas,"4106 Honeysuckle Rogers, AR 72758",(479) 986-8000,Inst. Eric Spivey,36.282891,-94.1272699,ROOFTOP
Eglin AFB,Florida,"810 Wicker Road Eglin AFB, Fl. 32542",(850) 902-1415,PKJN Amado Garcia,30.4878899,-86.49567060000001,GEOMETRIC_CENTER
Ft. Myers,Florida,"NEW lOCATION Villas Community Center 2306 Sunrise Blvd Fort Myers, FL 33907",,KJN.Frank Garza,26.640628,-81.8723084,APPROXIMATE
Hurlburt Field,Florida,"Aderholt Fitness Center 259 Tully Street - Bldg 90517 Hurlburt Field, FL 32544",(850) 543-1986;(407) 443-3387,PKJN Amado Garcia,30.4236556,-86.69497109999999,APPROXIMATE
Gretna,Louisiana,"835 Gretna Blvd Gretna, LA 70053",(504) 365-0111,Inst. Ryan Tardiff,29.89636,-90.04982,ROOFTOP
Uptown New Orleans,Louisiana,"International School of New Orleans 1400 Camp Street New Orleans, LA 70103",(504) 236-8036,Inst. Quan Le,29.9393052,-90.12142349999999,APPROXIMATE
Pryor,Oklahoma,"Pryor Creek Recreational Center 1111 Southeast 9th Street Pryor, OK 74361",(918) 344-9483,Inst. Michelle Brasher,36.3084275,-95.31691359999999,APPROXIMATE
Tahlequah,Oklahoma,"NEW location! 2051 Mahaney Ave. Tahlequah, OK 74464",(918) 457-9440,Inst. Trevor Crouch,35.8894532,-94.9738778,ROOFTOP
Anderson,South carolina,"1107 North Murray Ave. Anderson, SC 29621",(864) 360-0174,JDKJN Daniel Middleton,34.512242,-82.65543799999999,ROOFTOP
Clemson,South carolina,"1085 Old Clemson Hwy Seneca, SC 29672",(864) 653-0570,Inst. Sarah Gordinier,34.6969123,-82.877189,ROOFTOP
Florence,South carolina,"3015#C East Palmetto Street Florence, SC",(843) 665-2100,PKJN. Cliff Bailey,34.1973569,-79.707077,ROOFTOP
Greenville,South carolina,"5314 Wade Hampton Blvd.  Taylors, SC 29687",(864) 517-8075,PKJN. Toan Pham,34.9338147,-82.2808967,ROOFTOP
Greenville,South carolina,"Carolina School of Massage 1313A Miller Rd. Greenville, SC 29607",(864) 860-0174,JDKJN Daniel Middleton,34.85261759999999,-82.3940104,APPROXIMATE
Abilene,Texas,"2401 S. 7th Abilene, TX 79605",(325) 692-0100,PKJN Phillip Sage,32.4434641,-99.75148019999999,ROOFTOP
ALVIN,Texas,"900 FM 1462 ALVIN, TX 77511",(281) 742-4292,Instr. Joseph Perkins,29.401743,-95.24654799999999,ROOFTOP
Austin (Manchaca),Texas,"NEW!!! 12925 E. Lowden Lane Manchaca, Texas 78752",(210) 324-4301,Inst. Daniel Jolly,30.1284886,-97.8331244,ROOFTOP
Austin (Oak Hill),Texas,"6001 W. Williams Cannon #307 Austin, TX 78749",(512) 748-0000,PKJN Timothy King,30.2284217,-97.86296899999999,ROOFTOP
Baytown,Texas,"2827 North Alexander Baytown, TX 77520",(281) 428-4930,Inst. Tommy Nance,29.7526826,-94.944355,ROOFTOP
Boerne,Texas,"OPEN SOON ! 37131 IH 10 West Boerne, TX 78006",(210) 912-4300,inst. Kenneth Thibodeaux,29.79466409999999,-98.7319703,APPROXIMATE
Brownsville,Texas,"1601 Alton Gloor Suite 110 Brownsville, TX 78521",(956) 504-2700,PKJN Raul III Sosa,25.9822238,-97.4861093,ROOFTOP
Clear Lake,Texas,"15230 HWY 3 Webster, TX 77598",(281) 486-5425,SSKJN Barry Harmon,29.5656859,-95.14473339999999,ROOFTOP
Katy,Texas,"25710 Clay Road Katy, Texas 77493",(281) 615-3542,Inst. Ron Michael,29.833673,-95.818742,ROOFTOP
Kingwood,Texas,"910 Russell Palmer Road Kingwood, TX 77339-1601",(281) 359-5425,SIKJN Richard Roper,30.0640245,-95.22690879999999,ROOFTOP
Magnolia,Texas,"37937 FM 1774 Magnolia, TX 77355",(832) 934-1400,PKJN. Joe Flores,30.189868,-95.71906790000001,ROOFTOP
Murphy (Dallas),Texas,"New Location Murphy Community Center 205 N Murphy Road Murphy, TX 75094",(972) 767-9062,Inst. Hong  Cho,33.0151205,-96.6130486,APPROXIMATE
Pearland,Texas,"2510 East Broadway Pearland, Texas 77581",(281) 997-3737,PKJN Alana Groneman,29.5525157,-95.2551276,RANGE_INTERPOLATED
Prosper (Dallas),Texas,"114 W. Broadway Street Prosper, TX 75078 Dallas Metro Area",(469) 307-9940,Inst. Wendy Herrmann,33.2364694,-96.80278179999999,ROOFTOP
Richmond,Texas,"1125 Crabb River Road Richmond, TX 77469",(832) 595-2299,Inst. Robert Kuemmel,29.55113829999999,-95.6976713,ROOFTOP
River Oaks (Houston),Texas,"Kuk Sool Won of River Oaks River Oaks Community Center 3600 Locke Lane Houston, TX 77027",(832) 738-6711,Instructor Ryan Green,29.7474718,-95.43312259999999,APPROXIMATE
San Antonio,Texas,"6812 Bandera Rd #109 San Antonio, TX 78238-3552",(210) 520-0432,JIKJN Daniel Jolly,29.4962399,-98.6217374,ROOFTOP
San Antonio (Alamo Heights),Texas,"1149 Harry Wurzbach Rd. San Antonio, TX 78209-640 210-824-KICK(5425)",,Inst. Frankie Cade,29.4849531,-98.46585019999999,APPROXIMATE
San Antonio (Walzem),Texas,"5530 Walzem Road San Antonio, TX 78218",(210) 599-8211,PKJN Lawson Plummer,29.5102815,-98.3792684,ROOFTOP
The Woodlands East,Texas,"New Location!!! 26403 Oak Ridge Drive The Woodlands, TX 77380",(713) 937-7885,Inst. Todd Thurman,30.1447762,-95.44936299999999,ROOFTOP
The Woodlands West,Texas,"32215 Tamina Road Magnolia, TX 77354",(281) 259-6333,JIKJN Joseph Foster,30.2097443,-95.5775784,ROOFTOP
Tomball,Texas,"20295 F.M.2920 Rd. Tomball, TX 77377",(281) 255-4321,SIKJN Alex Suh,30.07924059999999,-95.7397793,ROOFTOP
